conference,team
Missouri Valley,Murray State
Missouri Valley,Indiana State
Missouri Valley,Southern Illinois
Missouri Valley,Illinois State
Missouri Valley,Evansville
Missouri Valley,Belmont
Missouri Valley,Bradley
Missouri Valley,Valparaiso
Mountain West,San Diego State
Mountain West,Washington State
Mountain West,Air Force
Mountain West,Nevada
Mountain West,New Mexico
Mountain West,UNLV
Mountain West,San Jose State
Mountain West,Grand Canyon
Mountain West,Fresno State
Northeast,Long Island
Northeast,Fairleigh Dickinson
Northeast,Wagner
Northeast,Le Moyne
Northeast,Stonehill
Northeast,Norfolk State
Northeast,Mercyhurst
Northeast,New Haven
Northeast,Central Connecticut
Northeast,Coppin State
Northeast,UMES
Northeast,Delaware State
Ohio Valley,SIU Edwardsville
Ohio Valley,Southeast Missouri State
Ohio Valley,Eastern Illinois
Ohio Valley,Little Rock
Ohio Valley,Morehead State
Ohio Valley,Lindenwood
Ohio Valley,Tennessee-Martin
Ohio Valley,Southern Indiana
Ohio Valley,Western Illinois
Ohio Valley,Tennessee Tech
Patriot,Army
Patriot,Bucknell
Patriot,Navy
Patriot,Holy Cross
Patriot,Lehigh
Patriot,Lafayette
SEC,Georgia
SEC,Texas
SEC,Texas A&M
SEC,Alabama
SEC,Florida
SEC,Auburn
SEC,Arkansas
SEC,Mississippi State
SEC,Ole Miss
SEC,Tennessee
SEC,Oklahoma
SEC,Vanderbilt
SEC,Kentucky
SEC,LSU
SEC,South Carolina
SEC,Missouri
SoCon,Mercer
SoCon,Western Carolina
SoCon,Wofford
SoCon,Samford
SoCon,The Citadel
SoCon,East Tennessee State
SoCon,UNC Greensboro
SoCon,VMI
Southland,Southeastern Louisiana
Southland,Lamar
Southland,UT Rio Grande Valley
Southland,McNeese
Southland,Northwestern State
Southland,Nicholls
Southland,Stephen F. Austin
Southland,Houston Christian
Southland,New Orleans
Southland,Texas A&M-Corpus Christi
Southland,Incarnate Word
Summit,Oral Roberts
Summit,Omaha
Summit,Northern Colorado
Summit,South Dakota State
Summit,North Dakota State
Summit,St. Thomas
Sun Belt,Southern Miss
Sun Belt,Coastal Carolina
Sun Belt,South Alabama
Sun Belt,Appalachian State
Sun Belt,Troy
Sun Belt,Louisiana
Sun Belt,Texas State
Sun Belt,Old Dominion
Sun Belt,Georgia State
Sun Belt,Marshall
Sun Belt,Arkansas State
Sun Belt,UL Monroe
Sun Belt,James Madison
Sun Belt,Georgia Southern
Southwestern Athletic,Bethune-Cookman
Southwestern Athletic,Southern
Southwestern Athletic,Florida A&M
Southwestern Athletic,Alabama State
Southwestern Athletic,Grambling
Southwestern Athletic,Texas Southern
Southwestern Athletic,Jackson State
Southwestern Athletic,Arkansas-Pine Bluff
Southwestern Athletic,Prairie View
Southwestern Athletic,Mississippi Valley State
Southwestern Athletic,Alabama A&M
Southwestern Athletic,Alcorn State
Western Athletic,Tarleton
Western Athletic,California Baptist
Western Athletic,Utah Tech
Western Athletic,Sacramento State
Western Athletic,Abilene Christian
Western Athletic,UT Arlington
Western Athletic,Utah Valley
West Coast,Gonzaga
West Coast,Saint Mary’s
West Coast,San Francisco
West Coast,Pacific
West Coast,Pepperdine
West Coast,Portland
West Coast,Santa Clara
West Coast,San Diego
West Coast,Seattle
West Coast,Loyola Marymount
